steamidnumber;gametitle;releasemonth;releaseyear;releaseprice;lowestestimatedownersnumber;highestestimatedownersnumber;averageestimatedownersnumber;developer;publisher
1;DiscoElysiumTheFinalCut;October;2019;3.999,00 Ä;1000000;2000000;1500000;ZA/UM;ZA/UM
2;BioShock;August;2007;499,00 Ä;1000000;2000000;1500000;2KBoston2KAustralia;2K
3;MassEffect22010;January;2010;1.999,00 Ä;1000000;2000000;1500000;BioWare;ElectronicArts
4;MassEffect2DigitalDeluxeEdition;January;2010;2.999,00 Ä;1000000;2000000;1500000;BioWare;ElectronicArts
5;DivinityOriginalSinEnhancedEdition;October;2015;3.999,00 Ä;1000000;2000000;1500000;LarianStudios;LarianStudios
6;TheElderScrollsIVOblivionGameoftheYearEdition;September;2007;1.499,00 Ä;1000000;2000000;1500000;BethesdaGameStudios;BethesdaSoftworks
7;TheElderScrollsVSkyrim;November;2011;1.999,00 Ä;5000000;10000000;7500000;BethesdaGameStudios;BethesdaSoftworks
8;ELDENRING;February;2022;5.999,00 Ä;20000000;50000000;35000000;FromSoftwareInc;FromSoftwareIncBandaiNamcoEntertainment
9;GodofWar;January;2022;4.999,00 Ä;2000000;5000000;3500000;SantaMonicaStudio;PlayStationPCLLC
10;DivinityOriginalSin2DefinitiveEdition;September;2017;4.499,00 Ä;5000000;10000000;7500000;LarianStudios;LarianStudios
11;Hades;September;2020;1.499,00 Ä;5000000;10000000;7500000;SupergiantGames;SupergiantGames
12;TheWitcher3WildHunt;May;2015;3.999,00 Ä;10000000;20000000;15000000;CDPROJEKTRED;CDPROJEKTRED
13;SystemShock2;August;1999;999,00 Ä;500;1000000;750;NightdiveStudiosIrrationalGamesLookingGlassStudios;NightdiveStudios
14;Undertale;September;2015;999,00 Ä;2000000;5000000;3500000;tobyfox;tobyfox
15;TheLongestJourney;November;2000;999,00 Ä;200;500;350;Funcom;Funcom
16;DragonAgeOrigins;November;2009;2.999,00 Ä;500;1000000;750;BioWare;ElectronicArts
17;Fallout3;October;2008;999,00 Ä;500;1000000;750;BethesdaGameStudios;BethesdaSoftworks
18;DragonAgeOriginsUltimateEdition;October;2010;2.999,00 Ä;1000000;2000000;1500000;BioWare;ElectronicArts
19;DeusExHumanRevolutionDirectorsCut;October;2013;1.999,00 Ä;2000000;5000000;3500000;EidosMontreal;SquareEnix
20;Fallout3GameoftheYearEdition;October;2009;1.999,00 Ä;2000000;5000000;3500000;BethesdaGameStudios;BethesdaSoftworks
21;DARKSOULSII;April;2014;2.499,00 Ä;1000000;2000000;1500000;FromSoftwareInc;BANDAINAMCOEntertainmentFromSoftwareInc
22;CrusaderKingsIII;September;2020;4.999,00 Ä;2000000;5000000;3500000;ParadoxDevelopmentStudio;ParadoxInteractive
23;ChicoryAColorfulTale;June;2021;1.999,00 Ä;20;50;35;GregLobanovAlexisDeanJonesLenaRaineMadelineBergerAShellinthePit;Finji
24;GuildWars2;August;2022;0,00 Ä;500;1000000;750;ArenaNet;NCSOFT
25;IntotheBreach;February;2018;1.499,00 Ä;1000000;2000000;1500000;SubsetGames;SubsetGames
26;FreedomForce;March;2002;499,00 Ä;200;500;350;IrrationalGames;2K
27;GuildWarsGameoftheYearEdition;April;2005;1.999,00 Ä;20;20;20;ArenaNet;NCSOFT
28;MassEffect3N7DigitalDeluxeEdition2012;March;2012;2.999,00 Ä;500;1000000;750;BioWare;ElectronicArts
29;FalloutAPostNuclearRolePlayingGame;September;1997;999,00 Ä;2000000;5000000;3500000;InterplayInc;BethesdaSoftworks
30;MassEffect2007;May;2008;1.999,00 Ä;1000000;2000000;1500000;BioWare;ElectronicArts
31;NuclearThrone;December;2015;1.199,00 Ä;500;1000000;750;Vlambeer;Vlambeer
32;PillarsofEternity;March;2015;2.999,00 Ä;1000000;2000000;1500000;ObsidianEntertainment;ParadoxInteractive
33;TheElderScrollsIIIMorrowindGameoftheYearEdition;April;2002;1.499,00 Ä;1000000;2000000;1500000;BethesdaGameStudios;BethesdaSoftworks
34;Borderlands2;September;2012;1.999,00 Ä;10000000;20000000;15000000;GearboxSoftwareAspyrMacAspyrLinux;2KAspyrMacAspyrLinux
35;StardewValley;February;2016;1.499,00 Ä;10000000;20000000;15000000;ConcernedApe;ConcernedApe
